date,holding,strategy_equity,buy_hold_levered
2019-04-22,QLD,158699.52446083058,129260.57222166412
2019-04-23,QLD,162696.54720339255,132516.14244874494
2019-04-24,QLD,161660.88289108005,131672.59510924353
2019-04-25,QLD,162761.27776617365,132568.86541444846
2019-04-26,QLD,163246.73846789313,132964.27257340867
2019-04-29,QLD,163732.21151570507,133359.68978824635
2019-04-30,QLD,161304.87096883028,131382.6238258129
2019-05-01,QLD,160058.84158704855,130367.73438968314
2019-05-02,QQQ,159364.15580294185,129379.20140846641
2019-05-03,QQQ,161905.7137523203,133438.76920886288
2019-05-06,QQQ,160914.50770330656,131883.47691618014
2019-05-07,QQQ,157779.92215114622,126584.94456144457
2019-05-08,QQQ,157381.74370491435,125820.4766425597
2019-05-09,QQQ,156534.55772178818,124660.60156471466
2019-05-10,QQQ,156729.4068783382,124911.02308195952
2019-05-13,QQQ,151290.47441791216,116146.03869320654
2019-05-14,QQQ,152950.95170570136,118703.03716662378
2019-05-15,QQQ,155111.27854807948,121945.42413830933
2019-05-16,QQQ,156670.09765454388,124423.35324698755
2019-05-17,QQQ,155068.91666351675,121879.52797308806
2019-05-20,QQQ,152451.11507814465,117859.48982712238
2019-05-21,QQQ,154043.82886307215,120218.78974899827
2019-05-22,QQQ,153357.6102850651,119151.17734716498
2019-05-23,QQQ,151010.90149223665,115447.46693954295
2019-05-24,QQQ,150934.65785624302,115289.30809830988
2019-05-28,QQQ,150367.04479879237,114419.39424801797
2019-05-29,QQQ,149130.147575534,112587.31392729984
2019-05-30,QQQ,149757.06985677898,113549.49045360355
2019-05-31,QQQ,147367.99917938776,109753.5173699697
2019-06-03,QQQ,144123.27531277074,105140.36345762499
2019-06-04,QQQ,148181.30341108306,110887.03599290174
2019-06-05,QQQ,149282.6477745535,112521.41776207853
2019-06-06,QQQ,150468.70298011723,114248.05215138962
2019-06-07,QQQ,153374.5446972645,118623.95774600725
2019-06-10,QLD,156885.1134486733,121339.12511653504
2019-06-11,QLD,157430.4446430836,121760.89878628576
2019-06-12,QLD,155692.20552393864,120416.4983564171
2019-06-13,QLD,157498.61266760007,121813.62175198928
2019-06-14,QLD,155930.7871088856,120601.0237084407
2019-06-17,QLD,157907.62081469875,122129.95954621042
2019-06-18,QLD,162508.85195492816,125688.67425623964
2019-06-19,QLD,163701.75987966283,126611.3010163576
2019-06-20,QLD,166684.04269322078,128917.87797252995
2019-06-21,QLD,166275.04754784337,128601.55023418632
2019-06-24,QLD,166223.92477988635,128562.01052387804
2019-06-25,QLD,160395.6952018034,124054.30254294036
2019-06-26,QLD,161827.18471148502,125161.45465508188
2019-06-27,QLD,163122.351173855,126163.17089169387
2019-06-28,QLD,163616.55960030828,126545.4048511363
2019-07-01,QLD,167859.9183631173,129827.33153313016
2019-07-02,QLD,169223.25285000372,130881.77073544565
2019-07-03,QLD,171626.1139560325,132740.2075110768
2019-07-05,QLD,171063.73750506275,132305.25058593083
2019-07-08,QLD,168541.58560656052,130354.55113428789
2019-07-09,QLD,170245.7472143079,131672.59510924353
2019-07-10,QLD,173568.85714872676,134242.77683805604
2019-07-11,QLD,173296.19805238224,134031.89503111943
2019-07-12,QLD,175290.06401303358,135574.0040684069
2019-07-15,QLD,176261.43560938074,136325.28873189652
2019-07-16,QLD,174506.15123367636,134967.70504663262
2019-07-17,QLD,172836.06713732658,133676.01752659
2019-07-18,QLD,173381.39833173688,134097.79119634072
2019-07-19,QLD,170433.2060312978,131817.58075095885
2019-07-22,QQQ,171789.46595898195,134084.61799682296
2019-07-23,QQQ,172913.72599540735,135771.71267582575
2019-07-24,QQQ,174127.21885385795,137656.51596224742
2019-07-25,QQQ,172476.52056652823,134994.06150154566
2019-07-26,QQQ,174252.13663568304,137709.23892795094
2019-07-29,QQQ,173654.31485016196,136865.68153257202
2019-07-30,QQQ,172904.80815921168,135600.36052331995
2019-07-31,QQQ,170513.52101712735,132002.10610298245
2019-08-01,QQQ,169665.8500529391,130512.70997552098
2019-08-02,QQQ,167167.4944164382,126716.74694776465
2019-08-05,QQQ,161260.63286580992,117529.97883338346
2019-08-06,QQQ,163518.08438987355,120983.25766788311
2019-08-07,QQQ,164401.44031386165,122024.51361480338
2019-08-08,QQQ,167979.45319079244,127533.93783235303
2019-08-09,QQQ,166400.13843807945,125108.73168937837
2019-08-12,QQQ,164490.67313588684,122261.76193253048
2019-08-13,QQQ,168095.4531364218,127744.81963928964
2019-08-14,QQQ,163071.94750978163,119797.01607924755
2019-08-15,QQQ,162884.57764455263,119638.84718213697
2019-08-16,QQQ,165498.93322668292,123421.63701037556
2019-08-19,QQQ,168131.13809622166,127191.24358321888
2019-08-20,QQQ,166828.4260307629,125477.78239342556
2019-08-21,QQQ,168309.60374027208,127652.55696327784
2019-08-22,QQQ,167765.3162019593,126822.1928791717
2019-08-23,QQQ,162456.2900518692,118834.84960882133
2019-08-26,QQQ,164910.0428923746,122301.30164283876
2019-08-27,QQQ,164562.04305548652,121879.52797308806
2019-08-28,QQQ,165150.94700481193,122591.27292626939
2019-08-29,QQQ,167676.08337993408,126347.69624371747
2019-08-30,QLD,166923.93684785627,125780.93693225145
2019-09-03,QLD,163617.99387655512,123289.8346240555
2019-09-04,QLD,168340.7657369398,126848.54933408472
2019-09-05,QLD,174532.8529985469,131514.42621213297
2019-09-06,QLD,174130.549821598,131211.28172918456
2019-09-09,QLD,173308.43461849442,130591.79945201502
2019-09-10,QLD,172486.31941539084,129972.31717484545
2019-09-11,QLD,175582.35637361466,132305.25058593083
2019-09-12,QLD,176894.23892873924,133293.78356714756
2019-09-13,QLD,175739.78921971255,132423.87977273317
2019-09-16,QLD,173973.11697550013,131092.65254238225
2019-09-17,QLD,175634.84288575358,132344.8003521166
2019-09-18,QLD,175617.34738170725,132331.61709672134
2019-09-19,QLD,176124.61023777456,132713.85105616378
2019-09-20,QLD,172398.85524031875,129906.41095374669
2019-09-23,QLD,172503.81491943714,129985.5004302407
2019-09-24,QLD,167816.02072198564,126453.1421751245
2019-09-25,QLD,171611.73104530777,129313.29518736765
2019-09-26,QLD,170352.32165716265,128364.30191645918
2019-09-27,QLD,166276.7366497374,125293.25704140196
2019-09-30,QLD,169197.87194813596,127494.39812204477
2019-10-01,QLD,166416.67399178896,125398.70297280901
2019-10-02,QLD,160696.871923316,121088.70359929018
2019-10-03,QLD,164282.6762335608,123790.68771442275
2019-10-04,QLD,169127.9032771102,127441.67515634124
2019-10-07,QLD,167990.93572697035,126584.94456144457
2019-10-08,QLD,162778.38316940525,122657.1690914907
2019-10-09,QLD,166259.25449085055,125280.0838418842
2019-10-10,QLD,168568.16725406342,127019.90148659055
2019-10-11,QLD,172836.14942536026,130235.92194748559
2019-10-14,QLD,172993.58227145814,130354.55113428789
2019-10-15,QLD,177261.56444275496,133570.57159518296
2019-10-16,QLD,176369.49391378506,132898.37640818738
2019-10-17,QLD,177349.02861782702,133636.47781628175
2019-10-18,QLD,173920.6438085206,131053.112832074
2019-10-21,QLD,176981.70310381125,133359.68978824635
2019-10-22,QLD,174148.03198048478,131224.45492870233
2019-10-23,QLD,174795.23217860365,131712.1348195518
2019-10-24,QLD,178101.1751499048,134203.23712774777
2019-10-25,QLD,180847.38209815917,136272.565766193
2019-10-28,QLD,184503.1684245892,139027.2829029066
2019-10-29,QLD,181739.46597228854,136944.77100906608
2019-10-30,QLD,183191.28586946466,138038.74992168986
2019-10-31,QLD,183471.14720840834,138249.63172862647
2019-11-01,QLD,186899.53201771475,140832.9967128342
2019-11-04,QLD,189051.0252799892,142454.19522661573
2019-11-05,QLD,189120.993951015,142506.91819231925
2019-11-06,QLD,188438.81608996296,141992.88184655676
2019-11-07,QLD,189698.2121329486,142941.8650615877
2019-11-08,QLD,191202.50519710418,144075.38368451977
2019-11-11,QLD,190660.2646781037,143666.79327016431
2019-11-12,QLD,191657.294886192,144418.07793365393
2019-11-13,QLD,191394.9157061352,144220.3693262351
2019-11-14,QLD,191499.8753852536,144299.45880272912
2019-11-15,QLD,193878.7434743328,146091.98935726148
2019-11-18,QLD,194648.38551045686,146671.93192412276
2019-11-19,QLD,195085.6796954984,147001.44291786168
2019-11-20,QLD,192724.29376530607,145222.0855628471
2019-11-21,QQQ,192295.27894133862,144563.06357536925
2019-11-22,QQQ,192419.2220528032,144773.94538230586
2019-11-25,QQQ,194697.7823217952,148174.50125110202
2019-11-26,QQQ,195069.59710887546,148728.07730717276
2019-11-27,QQQ,196432.91314573184,150784.23274610026
2019-11-29,QQQ,195536.7549889767,149360.74283973756
2019-12-02,QQQ,193534.66641404392,146065.63290234847
2019-12-03,QQQ,192018.80724727933,143943.58129819972
2019-12-04,QQQ,192991.23696898858,145406.61091487066
2019-12-05,QQQ,193372.59479375908,145960.18697094143
2019-12-06,QQQ,195441.41189595574,149004.87539108563
2019-12-09,QQQ,194554.78222957728,147752.7275813513
2019-12-10,QQQ,194392.69606197884,147502.3060641064
2019-12-11,QQQ,195422.34036788883,149083.9548117022
2019-12-12,QQQ,196880.99949776623,151311.452347258
2019-12-13,QQQ,197529.30052621925,152220.89585198072
2019-12-16,QQQ,199512.3175730851,155133.77182992737
2019-12-17,QQQ,199626.7176468595,155305.1239824332
2019-12-18,QQQ,199779.26077676768,155529.18904476505
2019-12-19,QQQ,201028.17673984973,157585.33442781505
2019-12-20,QQQ,201838.54938858765,158890.20520325293
2019-12-23,QQQ,201933.87793429513,159615.12335595203
2019-12-24,QQQ,202038.7495176928,159628.30661134727
2019-12-26,QQQ,203821.55188813998,162541.18258929392
2019-12-27,QQQ,203649.95177747842,162145.76537445624
2019-12-30,QQQ,202315.2357590656,159957.8176050862
2019-12-31,QQQ,202696.5790365225,160656.37930287226
2020-01-02,QQQ,206081.0551763786,165928.5552026948
2020-01-03,QQQ,204193.3666752202,162989.32276983513
2020-01-06,QQQ,205509.02571287967,164926.8389660828
2020-01-07,QQQ,205480.42569443607,164847.75954546628
2020-01-08,QQQ,207024.88487964426,167338.86185366224
2020-01-09,QQQ,208779.1017789614,170304.4708531899
2020-01-10,QQQ,208245.2008242827,169408.1904921075
