,QLD,Macro_State,Holdings,Strategy_Equity,QLD_Equity
10/15/2018,10.59669876,Blackout period,CASH,120740.3242,113312.2905
10/16/2018,11.21299839,Blackout period,CASH,120752.2775,119902.4866
10/17/2018,11.22655678,Blackout period,CASH,120764.232,120047.4687
10/18/2018,10.72488976,Blackout period,CASH,120776.1877,114683.0585
10/19/2018,10.68421173,Blackout period,CASH,120788.1445,114248.0815
10/22/2018,10.796381,Blackout period,CASH,120800.1025,115447.5264
10/23/2018,10.72611904,Blackout period,CASH,120812.0617,114696.2034
10/24/2018,9.730175972,Blackout period,CASH,120824.0221,104046.4159
10/25/2018,10.38715458,Blackout period,CASH,120835.9837,111071.5992
10/26/2018,9.889181137,Blackout period,CASH,120847.9465,105746.685
10/29/2018,9.508308411,Blackout period,CASH,120859.9104,101673.9486
10/30/2018,9.758525848,Blackout period,CASH,120871.8756,104349.5659
10/31/2018,10.20719433,Blackout period,CASH,120883.8419,109147.2538
11/1/2018,10.50178719,Blackout period,CASH,120895.8094,112297.385
11/2/2018,10.18500614,Blackout period,CASH,120907.7781,108909.9917
11/5/2018,10.11474991,Blackout period,CASH,120919.7479,108158.73
11/6/2018,10.26882267,Blackout period,CASH,120931.719,109806.2561
11/7/2018,10.903615,Blackout period,CASH,120943.6912,116594.1977
11/8/2018,10.77049351,Blackout period,CASH,120955.6646,115170.7071
11/9/2018,10.40441227,Blackout period,CASH,120967.6393,111256.1386
11/12/2018,9.789340019,Blackout period,CASH,120979.6151,104679.0671
11/13/2018,9.793040276,Blackout period,CASH,120991.592,104718.6345
11/14/2018,9.629104614,Blackout period,CASH,121003.5702,102965.6428
11/15/2018,9.971766472,Blackout period,CASH,121015.5496,106629.7839
11/16/2018,9.905204773,Blackout period,CASH,121027.5301,105918.0284
11/19/2018,9.253157616,Blackout period,CASH,121039.5118,98945.57801
11/20/2018,8.928983688,Blackout period,CASH,121051.4947,95479.13142
11/21/2018,9.055940628,Blackout period,CASH,121063.4788,96836.70343
11/23/2018,8.924052238,Blackout period,CASH,121075.4641,95426.39859
11/26/2018,9.335743904,Blackout period,CASH,121087.4506,99828.68715
11/27/2018,9.402301788,Blackout period,CASH,121099.4382,100540.4018
11/28/2018,9.993953705,Blackout period,CASH,121111.4271,106867.0358
11/29/2018,9.934788704,Blackout period,CASH,121123.4171,106234.3744
11/30/2018,10.08763218,Blackout period,CASH,121135.4083,107868.7555
12/3/2018,10.4229002,Blackout period,CASH,121147.4007,111453.8331
12/4/2018,9.624171257,Blackout period,CASH,121159.3943,102912.8896
12/6/2018,9.762224197,Blackout period,CASH,121171.3891,104389.113
12/7/2018,9.108944893,Blackout period,CASH,121183.3851,97403.487
12/10/2018,9.303694725,Blackout period,CASH,121195.3822,99485.97986
12/11/2018,9.361628532,Blackout period,CASH,121207.3806,100105.4758
12/12/2018,9.528026581,Blackout period,CASH,121219.3801,101884.7983
12/13/2018,9.536658287,Blackout period,CASH,121231.3808,101977.0986
12/14/2018,9.043616295,Blackout period,CASH,121243.3827,96704.91726
12/17/2018,8.663974762,Blackout period,CASH,121255.3858,92645.34619
12/18/2018,8.75888443,Blackout period,CASH,121267.3901,93660.23131
12/19/2018,8.344729424,Blackout period,CASH,121279.3956,89231.60185
12/20/2018,8.094511986,Blackout period,CASH,121291.4022,86555.9845
12/21/2018,7.573119164,Blackout period,CASH,121303.4101,80980.64295
12/24/2018,7.213199139,Blackout period,CASH,121315.4191,77131.9573
12/26/2018,8.101281166,Blackout period,CASH,121327.4294,86628.36849
12/27/2018,8.169120789,Blackout period,CASH,121339.4408,87353.78904
12/28/2018,8.15925312,Blackout period,CASH,121351.4534,87248.27239
12/31/2018,8.287532806,Blackout period,CASH,121363.4672,88619.98875
1/2/2019,8.349204063,Blackout period,CASH,121375.4822,89279.44992
1/3/2019,7.789218426,Blackout period,CASH,121387.4983,83291.42887
1/4/2019,8.487348557,Blackout period,CASH,121399.5157,90756.65234
1/7/2019,8.658798218,Blackout period,CASH,121411.5342,92589.99253
1/8/2019,8.831482887,Blackout period,CASH,121423.554,94436.53888
1/9/2019,8.963459015,Blackout period,CASH,121435.5749,95847.78192
1/10/2019,9.009098053,Blackout period,CASH,121447.597,96335.80786
1/11/2019,8.954824448,Blackout period,CASH,121459.6204,95755.45103
1/14/2019,8.792011261,Blackout period,CASH,121471.6449,94014.46211
1/15/2019,9.138609886,Blackout period,CASH,121483.6705,97720.69978
1/16/2019,9.136144638,Blackout period,CASH,121495.6974,97694.33847
1/17/2019,9.265655518,Blackout period,CASH,121507.7255,99079.22019
1/18/2019,9.445737839,Blackout period,CASH,121519.7548,101004.8709
1/22/2019,9.085573196,Blackout period,CASH,121531.7852,97153.56949
1/23/2019,9.096672058,Blackout period,CASH,121543.8169,97272.2515
